X;Y;REGION
351796.2;7635602.6;1
351781.3;7635607.8;1
351771.6;7635609.8;1
351768.4;7635609;1
351763;7635604;1
351756.8;7635598.7;1
351753.1;7635595.9;1
351745.1;7635598.3;1
351734;7635605.8;1
351731.3;7635619.7;1
351726.9;7635633.8;1
351718.2;7635635.2;1
351705.7;7635631.6;1
351698.9;7635625.1;1
351690;7635619.2;1
351681.1;7635613.9;1
351671.1;7635614.6;1
351660.8;7635610.5;1
351659.1;7635613;1
351654.8;7635617.3;1
351648.2;7635620.9;1
351631.3;7635626.4;1
351613.9;7635633.6;1
351596.8;7635643.5;1
351584.4;7635646.3;1
351568.8;7635654.5;1
351552.7;7635663.9;1
351544.8;7635669.2;1
351537.1;7635673.5;1
351528.6;7635682.9;1
351521.7;7635687.9;1
351517;7635696.4;1
351512.4;7635711.5;1
351506.8;7635716.2;1
351504.6;7635720.2;1
